"REF_DATE","GEO","DGUID","Gender","Sociodemographic characteristics","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749250","1.1.43.3.1","19.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, persons with and without a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749256","1.1.44.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, persons with and without a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749262","1.1.44.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, persons with and without a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749268","1.1.44.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Persons with a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749274","1.1.45.1.1","32.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Persons with a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749280","1.1.45.2.1","35.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Persons with a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749286","1.1.45.3.1","32.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Persons without a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749292","1.1.46.1.1","61.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Persons without a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749298","1.1.46.2.1","30.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Persons without a disability, difficulty or long-term condition","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749304","1.1.46.3.1","8.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749310","1.1.47.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749316","1.1.47.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, LGBTQ2+ and non-LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749322","1.1.47.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749328","1.1.48.1.1","22.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749334","1.1.48.2.1","29.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749340","1.1.48.3.1","48.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-LGBTQ2+ people","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749346","1.1.49.1.1","49.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-LGBTQ2+ people","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749352","1.1.49.2.1","33.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Non-LGBTQ2+ people","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749358","1.1.49.3.1","17.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, highest certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749364","1.1.50.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, highest certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749370","1.1.50.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, highest certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749376","1.1.50.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","No certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749382","1.1.51.1.1","47.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","No certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749388","1.1.51.2.1","31.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","No certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749394","1.1.51.3.1","21.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Secondary (high) school diploma or equivalency certificate","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749400","1.1.52.1.1","43.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Secondary (high) school diploma or equivalency certificate","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749406","1.1.52.2.1","33.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Secondary (high) school diploma or equivalency certificate","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749412","1.1.52.3.1","23.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Postsecondary certificate, diploma or degree","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749418","1.1.53.1.1","49.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Postsecondary certificate, diploma or degree","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749424","1.1.53.2.1","33.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Postsecondary certificate, diploma or degree","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749430","1.1.53.3.1","17.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by main activity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749562","1.1.61.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by main activity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749568","1.1.61.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, by main activity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749574","1.1.61.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Working at a paid job or business","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749580","1.1.62.1.1","46.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Working at a paid job or business","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749586","1.1.62.2.1","33.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Working at a paid job or business","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749592","1.1.62.3.1","19.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Retired","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749598","1.1.63.1.1","57.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Retired","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749604","1.1.63.2.1","31.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Retired","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749610","1.1.63.3.1","10.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Other activity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749616","1.1.64.1.1","41.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Other activity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749622","1.1.64.2.1","32.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Other activity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749628","1.1.64.3.1","26.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, urban and rural areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748482","1.1.1.1.1","47.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, urban and rural areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748488","1.1.1.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Total, urban and rural areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748494","1.1.1.3.1","19.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Urban areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748500","1.1.2.1.1","46.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Urban areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748506","1.1.2.2.1","33.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Urban areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748512","1.1.2.3.1","20.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rural areas","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748518","1.1.3.1.1","51.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rural areas","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427748524","1.1.3.2.1","33.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Total, all persons","Rural areas","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427748530","1.1.3.3.1","15.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, 15 years and over","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749688","1.2.4.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, 15 years and over","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749694","1.2.4.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, 15 years and over","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749700","1.2.4.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","15 to 24 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749706","1.2.5.1.1","48.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","15 to 24 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749712","1.2.5.2.1","29.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","15 to 24 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749718","1.2.5.3.1","22.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","25 to 54 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749724","1.2.6.1.1","46.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","25 to 54 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749730","1.2.6.2.1","31.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","25 to 54 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749736","1.2.6.3.1","21.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","55 to 64 years","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749796","1.2.10.1.1","55.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","55 to 64 years","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749802","1.2.10.2.1","29.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","55 to 64 years","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749808","1.2.10.3.1","15.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","65 years and over","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749814","1.2.11.1.1","58.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","65 years and over","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749820","1.2.11.2.1","32.9","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","65 years and over","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749826","1.2.11.3.1","9.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by immigrant status","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749868","1.2.14.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by immigrant status","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749874","1.2.14.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by immigrant status","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749880","1.2.14.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-immigrants","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749886","1.2.15.1.1","49.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-immigrants","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749892","1.2.15.2.1","31.2","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-immigrants","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749898","1.2.15.3.1","19.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Immigrants","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749904","1.2.16.1.1","55.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Immigrants","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749910","1.2.16.2.1","30.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Immigrants","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749916","1.2.16.3.1","14.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-permanent residents","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749976","1.2.20.1.1","","F","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-permanent residents","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749982","1.2.20.2.1","","F","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-permanent residents","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427749988","1.2.20.3.1","","F","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by visible minority group","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427749994","1.2.21.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by visible minority group","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750000","1.2.21.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by visible minority group","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750006","1.2.21.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Visible minority population","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750012","1.2.22.1.1","51.1","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Visible minority population","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750018","1.2.22.2.1","32.4","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Visible minority population","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750024","1.2.22.3.1","16.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Not a visible minority","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750246","1.2.35.1.1","50.5","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Not a visible minority","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750252","1.2.35.2.1","30.8","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Not a visible minority","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750258","1.2.35.3.1","18.6","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750264","1.2.36.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750270","1.2.36.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, by Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750276","1.2.36.3.1","18.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750282","1.2.37.1.1","39.9","E","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750288","1.2.37.2.1","31.2","E","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750294","1.2.37.3.1","28.9","E","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-Indigenous identity","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750390","1.2.43.1.1","51.0","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-Indigenous identity","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750396","1.2.43.2.1","31.3","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Non-Indigenous identity","Fair or poor perceived mental health","Percentage of persons","Percent","239","units","0","v1427750402","1.2.43.3.1","17.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, persons with and without a disability, difficulty or long-term condition","Excellent or very good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750408","1.2.44.1.1","50.7","","","","1"
"2023-07","Canada (excluding territories)","2016A000011124","Men","Total, persons with and without a disability, difficulty or long-term condition","Good perceived mental health","Percentage of persons","Percent","239","units","0","v1427750414","1.2.44.2.1","31.3","","","","1"
