"REF_DATE","GEO","DGUID","Measures","Sex","Age group","Categories","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508514","1.1.1.3.2.1","58.2","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508514","1.1.1.3.2.1","55.3","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508514","1.1.1.3.2.1","50.8","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508517","1.1.1.4.1.1","","..","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508517","1.1.1.4.1.1","","..","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508517","1.1.1.4.1.1","57.5","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508517","1.1.1.4.1.1","47.5","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508517","1.1.1.4.1.1","46.5","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508517","1.1.1.4.1.1","51.1","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508520","1.1.1.4.2.1","","..","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508520","1.1.1.4.2.1","","..","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508520","1.1.1.4.2.1","42.5","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508520","1.1.1.4.2.1","52.5","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508520","1.1.1.4.2.1","53.5","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 5 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508520","1.1.1.4.2.1","48.9","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508523","1.1.1.5.1.1","50.2","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508523","1.1.1.5.1.1","37.1","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508523","1.1.1.5.1.1","55.6","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508523","1.1.1.5.1.1","41.8","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508523","1.1.1.5.1.1","42.8","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Meeting guidelines","Estimate","Percent","239","units","0","v1278508523","1.1.1.5.1.1","49.3","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508526","1.1.1.5.2.1","49.8","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508526","1.1.1.5.2.1","62.9","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508526","1.1.1.5.2.1","44.4","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508526","1.1.1.5.2.1","58.2","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508526","1.1.1.5.2.1","57.2","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 6 to 11","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508526","1.1.1.5.2.1","50.7","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508529","1.1.1.6.1.1","34.0","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508529","1.1.1.6.1.1","23.3","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508529","1.1.1.6.1.1","26.7","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508529","1.1.1.6.1.1","26.8","E","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508529","1.1.1.6.1.1","30.9","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Meeting guidelines","Estimate","Percent","239","units","0","v1278508529","1.1.1.6.1.1","35.6","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508532","1.1.1.6.2.1","66.0","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508532","1.1.1.6.2.1","76.7","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508532","1.1.1.6.2.1","73.3","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508532","1.1.1.6.2.1","73.2","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508532","1.1.1.6.2.1","69.1","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 12 to 17","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508532","1.1.1.6.2.1","64.4","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Meeting guidelines","Estimate","Percent","239","units","0","v1278508535","1.1.1.7.1.1","58.6","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Meeting guidelines","Estimate","Percent","239","units","0","v1278508535","1.1.1.7.1.1","44.7","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Meeting guidelines","Estimate","Percent","239","units","0","v1278508535","1.1.1.7.1.1","58.5","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Meeting guidelines","Estimate","Percent","239","units","0","v1278508535","1.1.1.7.1.1","51.1","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Meeting guidelines","Estimate","Percent","239","units","0","v1278508535","1.1.1.7.1.1","55.3","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Meeting guidelines","Estimate","Percent","239","units","0","v1278508535","1.1.1.7.1.1","58.3","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508538","1.1.1.7.2.1","41.4","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508538","1.1.1.7.2.1","55.3","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508538","1.1.1.7.2.1","41.5","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508538","1.1.1.7.2.1","48.9","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508538","1.1.1.7.2.1","44.7","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 39","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508538","1.1.1.7.2.1","41.7","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Meeting guidelines","Estimate","Percent","239","units","0","v1278508541","1.1.1.8.1.1","42.7","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Meeting guidelines","Estimate","Percent","239","units","0","v1278508541","1.1.1.8.1.1","32.7","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Meeting guidelines","Estimate","Percent","239","units","0","v1278508541","1.1.1.8.1.1","40.3","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Meeting guidelines","Estimate","Percent","239","units","0","v1278508541","1.1.1.8.1.1","42.1","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Meeting guidelines","Estimate","Percent","239","units","0","v1278508541","1.1.1.8.1.1","43.8","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Meeting guidelines","Estimate","Percent","239","units","0","v1278508541","1.1.1.8.1.1","51.5","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508544","1.1.1.8.2.1","57.3","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508544","1.1.1.8.2.1","67.3","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508544","1.1.1.8.2.1","59.7","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508544","1.1.1.8.2.1","57.9","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508544","1.1.1.8.2.1","56.2","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 40 to 59","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508544","1.1.1.8.2.1","48.5","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508547","1.1.1.9.1.1","22.7","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508547","1.1.1.9.1.1","21.1","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508547","1.1.1.9.1.1","22.6","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508547","1.1.1.9.1.1","26.2","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508547","1.1.1.9.1.1","29.7","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508547","1.1.1.9.1.1","32.5","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508550","1.1.1.9.2.1","77.3","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508550","1.1.1.9.2.1","78.9","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508550","1.1.1.9.2.1","77.4","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508550","1.1.1.9.2.1","73.8","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508550","1.1.1.9.2.1","70.3","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 60 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508550","1.1.1.9.2.1","67.5","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Meeting guidelines","Estimate","Percent","239","units","0","v1278508553","1.1.1.10.1.1","48.6","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Meeting guidelines","Estimate","Percent","239","units","0","v1278508553","1.1.1.10.1.1","37.4","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Meeting guidelines","Estimate","Percent","239","units","0","v1278508553","1.1.1.10.1.1","47.1","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Meeting guidelines","Estimate","Percent","239","units","0","v1278508553","1.1.1.10.1.1","45.2","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Meeting guidelines","Estimate","Percent","239","units","0","v1278508553","1.1.1.10.1.1","47.6","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Meeting guidelines","Estimate","Percent","239","units","0","v1278508553","1.1.1.10.1.1","53.1","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508556","1.1.1.10.2.1","51.4","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508556","1.1.1.10.2.1","62.6","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508556","1.1.1.10.2.1","52.9","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508556","1.1.1.10.2.1","54.8","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508556","1.1.1.10.2.1","52.4","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 18 to 64","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508556","1.1.1.10.2.1","46.9","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508559","1.1.1.11.1.1","19.3","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508559","1.1.1.11.1.1","18.5","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508559","1.1.1.11.1.1","19.4","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508559","1.1.1.11.1.1","21.2","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508559","1.1.1.11.1.1","27.7","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Meeting guidelines","Estimate","Percent","239","units","0","v1278508559","1.1.1.11.1.1","27.5","","","","1"
"2009","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508562","1.1.1.11.2.1","80.7","","","","1"
"2011","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508562","1.1.1.11.2.1","81.5","","","","1"
"2013","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508562","1.1.1.11.2.1","80.6","","","","1"
"2015","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508562","1.1.1.11.2.1","78.8","","","","1"
"2017","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508562","1.1.1.11.2.1","72.3","","","","1"
"2019","Canada","2016A000011124","Canadian 24-Hour Movement Guidelines","Both sexes","Ages 65 to 79","Not meeting guidelines","Estimate","Percent","239","units","0","v1278508562","1.1.1.11.2.1","72.5","","","","1"


